#
# lemniscate: y(n) = (parameter "scale_coef" = 0.07715167498104596, X-coord of center = 0.0, Y-coord of center = 0.0, rotation angle of axes = 1.8884018465806474)
# Noise strength: 0.0
#
# LW_PARAMETER_SETS
(seq_type=lemniscate)
#index_of_time_step	input_0,input_1,input_2,input_3,input_4	output_0,output_1	complexity_0,complexity_1
# LW_SAMPLES
0	0.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.15614636778599872,0.4749929597659734	0.0,0.0	
1	1.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.16443732120777668,0.4719850577942885	0.0,0.0	
2	2.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.17256716777736558,0.4685719714904546	0.0,0.0	
3	3.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.1805173715232867,0.46476223031551406	3.40749675856844E-4,8.018392032556609E-4	
4	4.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.18827006895256296,0.4605655285431925	3.771491403126437E-4,7.836154684876528E-4	
5	5.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.1958081949676837,0.45599264879189894	4.1207773080037535E-4,7.631385763530174E-4	
6	6.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.20311560168227533,0.4510553720845796	4.452907146846319E-4,7.405749349977953E-4	
7	7.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.2101244548808832,0.4457015547778607	5.292728165128824E-4,7.809375554252984E-4	
8	8.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.21684720805219132,0.4399959358509012	5.846535432834921E-4,7.683422196401724E-4	
9	9.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.22328528475525852,0.4339733204686991	5.707764955406591E-4,6.687980754832568E-4	
10	10.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.22942722405464525,0.42764928609738845	5.808138719214095E-4,6.184154443510947E-4	
11	11.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.23526295489912988,0.4210398439807431	6.023458585825703E-4,5.868267344432132E-4	
12	12.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.2407727757720341,0.414152953763681	6.32118426482503E-4,5.628558457514976E-4	
13	13.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.24586365443811065,0.4069513517531984	7.448521784080842E-4,5.92159893837263E-4	
14	14.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.25061347923978244,0.3995236942742969	7.599960712324216E-4,5.407672618393811E-4	
15	15.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.25501831971719613,0.3918874410635111	6.86038188662863E-4,4.3465120030322657E-4	
16	16.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.25907589208778353,0.38405969589030137	6.922524310843947E-4,4.0008769430821545E-4	
17	17.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.2627573909683414,0.37604508742164816	7.23341596855831E-4,3.78355257867391E-4	
18	18.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.2659705236753714,0.36783243835733626	8.444396635574059E-4,3.8490389110218404E-4	
19	19.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.26882451987196165,0.35949122037935133	8.275026839675848E-4,3.2660950933172117E-4	
20	20.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.2713238830268331,0.35103692486334265	7.137695521585719E-4,2.4164645169677534E-4	
21	21.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.27347475014451395,0.34248368992058914	7.031290789094036E-4,2.120169647685799E-4	
22	22.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.2751039924667032,0.33381576327294465	8.701208326821752E-4,2.1363113163580527E-4	
23	23.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.27637980682914404,0.3250925641040121	8.750527552400245E-4,1.699642261790424E-4	
24	24.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.2773194546612043,0.3163264734523868	6.895944901290085E-4,9.816400398082736E-5	
25	25.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.27787557324256,0.30752430809170267	7.196957810851057E-4,7.896619175157271E-5	
