#
# lemniscate: y(n) = (parameter "scale_coef" = 0.07715167498104596, X-coord of center = 0.0, Y-coord of center = 0.0, rotation angle of axes = 1.8433328248235497)
# Noise strength: 0.0
#
# LW_PARAMETER_SETS
(seq_type=lemniscate)
#index_of_time_step	input_0,input_1,input_2,input_3,input_4	output_0,output_1	complexity_0,complexity_1
# LW_SAMPLES
0	0.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.13458758949765723,0.4815456164821876	0.0,0.0	
1	1.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.14300564129404672,0.47891430751768715	0.0,0.0	
2	2.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.1512810049120318,0.47587096718959293	0.0,0.0	
3	3.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.1593947789178946,0.4724232811825035	3.0427779052669135E-4,8.163770425890227E-4	
4	4.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.1673286811943621,0.46858012910859614	3.414613415176071E-4,7.998117458131171E-4	
5	5.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.17506517817488104,0.4643515137903091	3.7727702534384733E-4,7.80929311197609E-4	
6	6.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.18258760759078177,0.4597484767646174	4.114728605667528E-4,7.59884951784362E-4	
7	7.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.18983055337544255,0.4547158711498467	4.935511958581718E-4,8.039902964836476E-4	
8	8.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.19680353963701494,0.44931893126339845	5.494431543283385E-4,7.939028607565346E-4	
9	9.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.2035064203852709,0.4435924910645337	5.400650364048298E-4,6.938345840940552E-4	
10	10.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.2099270444991115,0.4375515958431582	5.52362147731772E-4,6.439553349272265E-4	
11	11.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.2160546297870003,0.43121178684586153	5.752954603671645E-4,6.133687984319347E-4	
12	12.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.22186913612591933,0.4245801280075296	6.061177749215885E-4,5.9076361695648E-4	
13	13.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.22727930461864318,0.4176152020215309	7.174167951649324E-4,6.251169887019903E-4	
14	14.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.23235895021562722,0.4104090843511416	7.348607419349895E-4,5.744588320573674E-4	
15	15.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.23710335982126926,0.402979039921625	6.657588870818132E-4,4.651184435179312E-4	
16	16.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.2415094813828136,0.3953420522416456	6.735240354396876E-4,4.308700095900786E-4	
17	17.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.24554833022821496,0.3875014474870775	7.055607602406977E-4,4.1056032505149E-4	
18	18.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.24912821097079768,0.37944190157459484	8.262408189616266E-4,4.225582325032562E-4	
19	19.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.2523551123969761,0.37123773684976535	8.119474192229137E-4,3.6355997026138454E-4	
20	20.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.2552328354576741,0.3629046318559554	7.021576818847242E-4,2.7355908132731255E-4	
21	21.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.2577668739505272,0.35445698684325516	6.928629333253222E-4,2.4348028787074538E-4	
22	22.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.25978498461793903,0.34587126542642377	8.59612393286191E-4,2.526164230214345E-4	
23	23.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.2614525164444697,0.3372144043535069	8.665066663224308E-4,2.0921606021662154E-4	
24	24.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.26278615551918894,0.32849954978333823	6.844715926925815E-4,1.291331533372908E-4	
25	25.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.2637382800942831,0.31973137769864135	7.154072514365395E-4,1.1131101178002423E-4	
26	26.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.2642101214143762,0.31092593375805266	8.617977546260813E-4,9.058937042000226E-5	
27	27.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.2643718307571425,0.30211184526578555	7.904152323278679E-4,4.591640757023452E-5	
28	28.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.2642403791588056,0.29329314887693947	6.032929184300317E-4,1.32524482573948E-5	
29	29.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.2635679830202114,0.2844991016661178	8.341054813604809E-4,2.925707460338378E-5	
30	30.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.2626212912135066,0.27573455002364466	8.152402083679289E-4,5.414474637294164E-5	
31	31.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.26140865087898535,0.26699859636463014	5.402441959270199E-4,5.809355180713682E-5	
32	32.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.25967398189836804,0.25835159200948743	7.879771739124908E-4,1.1754728733043285E-4	
33	33.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.2577157495865055,0.24975613695752225	7.455919773413089E-4,1.4049860704934414E-4	
34	34.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.2554367365969536,0.2412359560494187	5.443440089346052E-4,1.2682344703915382E-4	
35	35.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.2527577477045542,0.23283612589517433	7.207565805368299E-4,1.956248977208197E-4	
36	36.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.24991556937444492,0.22448822749152694	5.631653405573922E-4,1.722825044561671E-4	
37	37.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.24660251703237623,0.21631442378137644	6.340634496693198E-4,2.2602644409386308E-4	
38	38.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.24312501323219798,0.2082132871513693	6.353254700689481E-4,2.467617736402472E-4	
39	39.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.23931206422051587,0.20026037556204118	4.998966696134199E-4,2.208921208223802E-4	
40	40.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.23525526049059595,0.19243382706784443	5.792999297416779E-4,2.74588135810383E-4	
41	41.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.23095643719687148,0.1847326907099627	4.8587428204235894E-4,2.5177523144639946E-4	
42	42.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.22638223557246145,0.1771966961970544	5.173978944900959E-4,2.9055398128843835E-4	
43	43.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.22161346475248891,0.1697773830361253	4.6994752624807123E-4,2.8182319695263525E-4	
44	44.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.216589516158903,0.16253353823228353	4.497469691758793E-4,2.92149709066547E-4	
45	45.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.21136857733948905,0.15542515017610006	4.5216799944142183E-4,3.109251047456185E-4	
46	46.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.20596835731563495,0.14845724472461233	3.7627143026819354E-4,2.7593935235403766E-4	
47	47.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.20031482032301698,0.14168783541607907	4.3259817320401295E-4,3.389787476502093E-4	
48	48.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.19461813599050762,0.1349568091943562	2.964643086552643E-4,2.368792297648692E-4	
49	49.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.18855328360159854,0.12855329856235911	4.1131539629110647E-4,3.658986765361638E-4	
50	50.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.18248843121268946,0.12214978793036195	3.681680563997203E-4,3.2751558972583805E-4	
51	51.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.1761944405142197,0.11597731184037013	2.291383095606725E-4,2.3103454200541773E-4	
52	52.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.16974116536581435,0.1099654383576419	3.884227594962708E-4,3.916371492689308E-4	
53	53.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.16328789021740903,0.1039535648749137	1.5928444993562607E-4,1.606026072636102E-4	
54	54.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.15654426907195473,0.0982736385920285	2.9034599704899633E-4,3.31947199843044E-4	
55	55.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.149726909319001,0.09267801629310914	3.640846045483981E-4,4.1625118380883563E-4	
56	56.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.14290954956604732,0.08708239399418978	7.373860749945726E-5,8.430398396583327E-5	
57	57.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.13588836596964643,0.08175168645742033	2.038238434472206E-4,2.649147621499176E-4	
58	58.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.12873232451974595,0.0765962569233598	3.386816969467854E-4,4.4019276485883496E-4	
59	59.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.12157628306984553,0.07144082738929929	1.3485785349964807E-4,1.7527800270893124E-4	
60	60.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.11442024161994507,0.06628539785523878	8.326672684688674E-17,1.3877787807814457E-17	
61	61.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.10703134533171318,0.06147593010137413	2.3285483833146436E-4,3.45961780195872E-4	
62	62.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.09956129040133985,0.056787042999879654	3.140134804728856E-4,4.6654243256603195E-4	
63	63.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.09209123547096651,0.052098155898385165	8.115864214144897E-5,1.2058065237018772E-4	
64	64.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.08462118054059313,0.04740926879689067	4.163336342344337E-17,2.0816681711721685E-17	
65	65.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.07715112561021978,0.04272038169539619	6.938893903907228E-17,2.0816681711721685E-17	
66	66.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.06956911751575844,0.03822192962241127	1.1195316408801892E-4,1.9043502850957933E-4	
67	67.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.061839215569563094,0.03397504855325448	2.598470158219901E-4,4.420060323376898E-4	
68	68.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.054109313623367766,0.0297281674840977	1.4789385173401282E-4,2.5157100382813824E-4	
69	69.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.04637941167717244,0.025481286414940924	1.3877787807814457E-17,1.734723475976807E-17	
70	70.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.0386495097309771,0.02123440534578414	1.3877787807814457E-17,1.3877787807814457E-17	
71	71.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.030919607784781707,0.016987524276627326	6.245004513516506E-17,3.8163916471489756E-17	
72	72.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.023189705838586313,0.012740643207470516	5.204170427930421E-17,3.122502256758253E-17	
73	73.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.015459803892390921,0.008493762138313697	5.204170427930421E-18,1.214306433183765E-17	
74	74.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-0.007729901946195528,0.004246881069156888	2.6020852139652106E-18,1.734723475976807E-17	
75	75.0,0.07715167498104596,0.0,0.0,1.8433328248235497	-1.3721561999662874E-16,7.726910402398722E-17	2.6020852139652106E-18,9.540979117872439E-18	
76	76.0,0.07715167498104596,0.0,0.0,1.8433328248235497	0.0077299019461952905,-0.004246881069156717	3.8163916471489756E-17,1.734723475976807E-17	
77	77.0,0.07715167498104596,0.0,0.0,1.8433328248235497	0.0154598038923907,-0.0084937621383135	5.377642775528102E-17,2.7755575615628914E-17	
78	78.0,0.07715167498104596,0.0,0.0,1.8433328248235497	0.02318970583858611,-0.012740643207470282	1.8214596497756474E-17,1.214306433183765E-17	
79	79.0,0.07715167498104596,0.0,0.0,1.8433328248235497	0.030919607784781523,-0.01698752427662707	8.673617379884035E-19,6.071532165918825E-18	
80	80.0,0.07715167498104596,0.0,0.0,1.8433328248235497	0.03864950973097693,-0.021234405345783847	3.469446951953614E-18,1.3877787807814457E-17	
81	81.0,0.07715167498104596,0.0,0.0,1.8433328248235497	0.04637941167717234,-0.02548128641494063	6.938893903907228E-18,1.214306433183765E-17	
82	82.0,0.07715167498104596,0.0,0.0,1.8433328248235497	0.05410931362336775,-0.029728167484097415	3.469446951953614E-18,6.938893903907228E-18	
83	83.0,0.07715167498104596,0.0,0.0,1.8433328248235497	0.06183921556956316,-0.03397504855325419	0.0,1.0408340855860843E-17	
84	84.0,0.07715167498104596,0.0,0.0,1.8433328248235497	0.06956911751575857,-0.03822192962241098	0.0,1.3877787807814457E-17	
85	85.0,0.07715167498104596,0.0,0.0,1.8433328248235497	0.07715112561021963,-0.0427203816953964	1.4789385173435976E-4,2.515710038286448E-4	
86	86.0,0.07715167498104596,0.0,0.0,1.8433328248235497	0.08462118054059312,-0.04740926879689085	2.598470158219207E-4,4.4200603233766206E-4	
87	87.0,0.07715167498104596,0.0,0.0,1.8433328248235497	0.09209123547096658,-0.05209815589838528	1.1195316408758871E-4,1.904350285090381E-4	
88	88.0,0.07715167498104596,0.0,0.0,1.8433328248235497	0.09956129040134004,-0.05678704299987972	2.7755575615628914E-17,1.3877787807814457E-17	
89	89.0,0.07715167498104596,0.0,0.0,1.8433328248235497	0.10703134533171352,-0.061475930101374164	1.3877787807814457E-17,1.3877787807814457E-17	
90	90.0,0.07715167498104596,0.0,0.0,1.8433328248235497	0.11442024161994521,-0.06628539785523913	8.115864214179591E-5,1.2058065237052773E-4	
91	91.0,0.07715167498104596,0.0,0.0,1.8433328248235497	0.1215762830698458,-0.07144082738929958	3.140134804728856E-4,4.665424325660042E-4	
92	92.0,0.07715167498104596,0.0,0.0,1.8433328248235497	0.12873232451974634,-0.07659625692336006	2.3285483833115905E-4,3.459617801955181E-4	
93	93.0,0.07715167498104596,0.0,0.0,1.8433328248235497	0.1358883659696469,-0.08175168645742054	8.326672684688674E-17,2.7755575615628914E-17	
94	94.0,0.07715167498104596,0.0,0.0,1.8433328248235497	0.14290954956604768,-0.08708239399419025	1.348578534998146E-4,1.7527800270923655E-4	
95	95.0,0.07715167498104596,0.0,0.0,1.8433328248235497	0.1497269093190015,-0.0926780162931096	3.386816969467299E-4,4.401927648588627E-4	
96	96.0,0.07715167498104596,0.0,0.0,1.8433328248235497	0.15654426907195534,-0.0982736385920289	2.0382384344694304E-4,2.649147621496678E-4	
